Date,Open,High,Low,Close,Volume,Adj Close
2011-12-29,403.40,405.65,400.51,405.12,7713500,387.22
2011-12-28,406.89,408.25,401.34,402.64,8166500,384.85
2011-12-27,403.10,409.09,403.02,406.53,9467000,388.57
2011-12-23,399.69,403.59,399.49,403.33,9621400,385.51
2011-12-22,397.00,399.13,396.10,398.55,7227100,380.94
2011-12-21,396.69,397.30,392.01,396.45,9391000,378.93
2011-12-20,387.76,396.10,387.26,395.95,12043400,378.46
2011-12-19,382.47,384.85,380.48,382.21,8411800,365.32
2011-12-16,380.36,384.15,379.57,381.02,15052800,364.18
2011-12-15,383.33,383.74,378.31,378.94,9150000,362.20
2011-12-14,386.70,387.38,377.68,380.19,14531700,363.39
2011-12-13,393.00,395.40,387.10,388.81,12104600,371.63
2011-12-12,391.68,393.90,389.45,391.84,10752400,374.53
2011-12-09,392.85,394.04,391.03,393.62,10606900,376.23
2011-12-08,391.45,395.50,390.23,390.66,13441300,373.40
2011-12-07,389.93,390.94,386.76,389.09,10883800,371.90
2011-12-06,392.51,394.63,389.38,390.95,10128500,373.68
2011-12-05,393.49,396.41,390.39,393.01,12757500,375.65
2011-12-02,389.83,393.63,388.58,389.70,13537700,372.48
2011-12-01,382.54,389.00,380.75,387.93,13827900,370.79
2011-11-30,381.29,382.28,378.30,382.20,14497800,365.31
2011-11-29,375.84,378.83,370.20,373.20,13423400,356.71
2011-11-28,372.35,376.72,370.33,376.12,12371900,359.50
2011-11-25,368.42,371.15,363.32,363.57,9098600,347.51
2011-11-23,374.51,375.84,366.88,366.99,15295400,350.77
2011-11-22,371.02,377.93,370.94,376.51,14607900,359.87
2011-11-21,370.40,371.68,365.91,369.01,15999300,352.71
2011-11-18,378.92,379.99,374.88,374.94,13283500,358.37
2011-11-17,383.98,384.58,375.50,377.41,17139300,360.73
2011-11-16,389.25,391.14,384.32,384.77,12471800,367.77
2011-11-15,380.80,389.50,379.45,388.83,15386100,371.65
2011-11-14,383.52,385.25,378.20,379.26,15460900,362.50
2011-11-11,386.61,388.70,380.26,384.62,23349500,367.63
2011-11-10,397.03,397.21,382.15,385.22,26598300,368.20
2011-11-09,396.97,400.89,394.23,395.28,19953000,377.81
2011-11-08,402.21,408.00,401.56,406.23,14301500,388.28
2011-11-07,399.91,400.00,396.13,399.73,9652700,382.07
2011-11-04,402.03,403.44,399.16,400.24,10793900,382.56
2011-11-03,399.07,403.40,395.36,403.07,15763800,385.26
2011-11-02,400.09,400.44,395.11,397.41,11691100,379.85
2011-11-01,397.41,399.50,393.22,396.51,18992500,378.99
2011-10-31,402.42,409.33,401.05,404.78,13767900,386.90
2011-10-28,403.00,406.35,402.51,404.95,11530100,387.06
2011-10-27,407.56,409.00,401.89,404.69,17666600,386.81
2011-10-26,401.76,402.55,393.15,400.60,16296600,382.90
2011-10-25,405.03,406.55,397.38,397.77,15372400,380.19
2011-10-24,396.18,406.50,395.40,405.77,17933500,387.84
2011-10-21,398.10,399.14,390.75,392.87,22187300,375.51
2011-10-20,400.00,400.35,394.21,395.31,19616800,377.84
2011-10-19,401.35,408.42,397.80,398.62,39430700,381.01
2011-10-18,421.76,424.81,415.99,422.24,31485800,403.58
2011-10-17,421.74,426.70,415.94,419.99,24501600,401.43
